"","wins","games","wins/games"
"Lou",0,2,0
"Bo",0,2,0
"Squeak",0,2,0
"Chester",0,4,0
"Melodie",0,4,0
"Bea",0,2,0
"Fang",1,3,0.333333333333333
"8-Bit",1,3,0.333333333333333
"Primo",1,3,0.333333333333333
"Carl",2,6,0.333333333333333
"Dyna",2,6,0.333333333333333
"Nita",9,21,0.428571428571429
"Jessie",10,21,0.476190476190476
"Buzz",3,6,0.5
"Mandy",5,10,0.5
"Surge",9,18,0.5
"Poco",2,4,0.5
"Larry",10,19,0.526315789473684
"Colette",7,13,0.538461538461538
"Rico",10,18,0.555555555555556
"Meg",30,54,0.555555555555556
"Bibi",5,9,0.555555555555556
"Belle",8,14,0.571428571428571
"Mico",9,15,0.6
"Sandy",6,10,0.6
"Berry",3,5,0.6
"Kit",3,5,0.6
"Piper",17,28,0.607142857142857
"Byron",8,13,0.615384615384615
"Spike",7,11,0.636363636363636
"Frank",11,17,0.647058823529412
"Jackie",2,3,0.666666666666667
"Tick",10,15,0.666666666666667
"Emz",2,3,0.666666666666667
"Barley",2,3,0.666666666666667
"Tara",2,3,0.666666666666667
"Buster",2,3,0.666666666666667
"Hank",2,3,0.666666666666667
"Brock",11,16,0.6875
"Colt",10,14,0.714285714285714
"Cordelius",5,7,0.714285714285714
"Gale",9,12,0.75
"Grom",11,14,0.785714285714286
"Edgar",4,5,0.8
"Angelo",2,2,1
"Lily",2,2,1
"Leon",2,2,1
"Pearl",2,2,1
"Stu",2,2,1
"Gene",4,4,1
"Bull",2,2,1
"Mr. P",2,2,1
"Otis",2,2,1
"Amber",2,2,1
